REAL_ESTATE_ID,Township,Deeded_Acreage,Total_sale_Price,Year_Built,HEATED_AREA,DESIGN_STYLE,BATH,Story_Height,PHYSICAL_CITY,PHYSICAL_ZIP_CODE,year,month,Quarter
62836,4,0.25,155000,1971,2814,I,D,A,CARY,27511.0,1998,5,2
62837,1,0.34,287000,1947,3209,A,F,I,RALEIGH,27608.0,1997,5,2
62861,12,0.52,94000,1952,1251,A,A,A,FUQUAY VARINA,27526.0,1998,6,2
62878,1,0.89,265000,1998,4187,A,F,A,RALEIGH,27609.0,1996,11,4
62879,16,0.38,78500,1932,936,A,A,A,GARNER,27529.0,1999,5,2
62898,1,0.17,159500,1927,1610,A,C,K,RALEIGH,27605.0,1992,5,2
62919,4,0.35,94000,1969,1242,A,B,A,CARY,27513.0,1994,5,2
62921,20,0.39,102000,1968,1423,A,C,A,APEX,27502.0,1995,11,4
62941,1,0.15,121000,1900,1746,A,C,A,RALEIGH,27608.0,1992,11,4
62944,1,0.47,237500,1966,3321,I,E,A,RALEIGH,27609.0,1998,7,3
62945,13,0.44,172000,1970,2669,A,E,C,RALEIGH,27615.0,1993,5,2
62954,7,0.46,151000,1966,3580,A,E,A,RALEIGH,27612.0,1999,9,3
62967,13,0.65,150000,1972,2073,I,D,A,RALEIGH,27615.0,1995,5,2
63009,6,0.4,27000,1970,1266,A,A,A,HOLLY SPRINGS,27540.0,1992,9,3
63056,20,0.3,51500,1945,1016,A,A,A,APEX,27502.0,1990,2,1
63058,7,0.79,65000,1941,1015,A,A,A,RALEIGH,27615.0,1997,5,2
63096,10,4.59,140000,1958,3577,A,E,A,WENDELL,27591.0,1990,11,4
63142,1,0.24,130000,1941,2476,A,E,A,RALEIGH,27607.0,1994,9,3
63153,8,2.7,258500,1985,2779,A,C,A,RALEIGH,27613.0,1997,11,4
63154,4,0.42,106000,1962,1491,G,C,A,CARY,27511.0,1994,3,1
63173,4,0.45,97000,1957,1552,G,A,A,CARY,27511.0,1995,6,2
63199,1,0.2,70500,1978,1008,A,C,A,RALEIGH,27604.0,1994,3,1
63208,4,0.77,149000,1974,1832,I,D,A,RALEIGH,27607.0,1999,5,2
63214,4,0.38,93000,1958,1794,I,C,A,CARY,27511.0,1994,8,3
63221,1,0.28,117000,1956,3742,A,E,B,RALEIGH,27607.0,1993,8,3
63237,17,0.76,141000,1971,1951,G,D,A,RALEIGH,27604.0,1993,9,3
63251,12,0.38,75000,1954,1286,A,A,A,FUQUAY VARINA,27526.0,1998,12,4
63294,17,0.65,500,1957,1716,A,B,A,RALEIGH,27604.0,1995,11,4
63302,1,0.27,269000,1929,2153,A,D,C,RALEIGH,27607.0,1999,3,1
63311,13,0.41,176000,1971,2155,I,E,A,RALEIGH,27609.0,1998,1,1
63334,4,0.68,335000,1970,3004,A,F,C,CARY,27511.0,1997,6,2
63339,4,0.35,116000,1956,1230,G,B,A,CARY,27511.0,1998,10,4
63346,13,0.33,110000,1969,2191,I,D,A,RALEIGH,27615.0,1992,2,1
63410,1,0.19,20000,1946,528,A,A,A,RALEIGH,27603.0,1996,7,3
63413,11,0.18,69500,1957,1064,A,A,A,RALEIGH,27606.0,1992,5,2
63436,11,0.4,84000,1965,1368,A,D,A,RALEIGH,27606.0,1993,6,2
63438,1,0.21,172000,1992,1866,A,C,A,RALEIGH,27609.0,1994,7,3
63439,19,0.96,24500,1995,1642,A,D,A,WAKE FOREST,27587.0,1995,6,2
63456,11,0.5,150000,1970,2604,A,J,A,RALEIGH,27607.0,1993,9,3
63473,13,0.59,161000,1971,2619,I,J,A,RALEIGH,27615.0,1990,9,3
63503,17,0.79,141000,1962,1869,I,D,A,RALEIGH,27604.0,1996,8,3
63506,1,0.32,365000,1916,2465,A,E,A,RALEIGH,27608.0,1999,9,3
63522,11,0.47,252000,1969,3074,G,F,A,RALEIGH,27607.0,1998,11,4
63533,12,0.23,91500,1948,1092,A,A,A,FUQUAY VARINA,27526.0,1997,12,4
63598,11,0.23,43500,1992,1600,A,C,A,RALEIGH,27607.0,1992,12,4
63602,4,0.28,111500,1971,1819,I,D,A,CARY,27511.0,1993,7,3
63604,1,0.57,136000,1960,1794,I,B,A,RALEIGH,27606.0,1997,4,2
63616,1,0.27,166500,1950,2863,A,E,C,RALEIGH,27608.0,1994,8,3
63622,1,0.15,65500,1909,1446,A,C,A,RALEIGH,27605.0,1993,8,3
63624,1,0.11,70500,1917,928,A,A,A,RALEIGH,27605.0,1998,8,3
63631,1,0.22,26750,1947,962,A,A,A,RALEIGH,27604.0,1997,2,1
63700,1,0.21,238000,1932,1518,A,B,C,RALEIGH,27608.0,1997,10,4
63702,1,0.32,137000,1966,2469,A,D,C,RALEIGH,27609.0,1991,5,2
63704,17,0.61,100000,1968,1889,I,D,A,RALEIGH,27604.0,1992,10,4
63741,17,0.46,81000,1962,1610,A,B,A,RALEIGH,27604.0,1993,4,2
63745,1,0.26,101250,1984,1350,A,C,B,RALEIGH,27607.0,1999,3,1
63747,1,0.2,36000,1930,1129,A,C,A,RALEIGH,27607.0,1994,3,1
63751,1,0.4,170000,1996,2727,A,C,J,RALEIGH,27604.0,1997,4,2
63770,1,0.18,66500,1949,840,A,A,A,RALEIGH,27608.0,1992,3,1
63778,17,1.1,162500,1949,2169,A,A,I,RALEIGH,27604.0,1997,9,3
63782,1,0.22,49000,1955,837,A,A,A,RALEIGH,27610.0,1991,1,1
63784,1,0.54,136500,1974,1809,I,C,A,RALEIGH,27606.0,1995,3,1
63786,10,0.42,71000,1959,1320,A,B,A,KNIGHTDALE,27545.0,1995,10,4
63793,11,0.62,185000,1963,2793,A,D,A,RALEIGH,27612.0,1998,10,4
63794,1,0.49,150000,1957,1882,A,C,A,RALEIGH,27609.0,1992,4,2
63801,1,0.22,187000,1940,1206,A,A,A,RALEIGH,27607.0,1999,4,2
63804,11,8.5,376000,1951,2664,G,J,A,RALEIGH,27612.0,1994,12,4
63805,7,0.66,190000,1971,2766,I,D,A,RALEIGH,27612.0,1998,11,4
63807,16,0.29,92000,1966,1566,G,E,A,RALEIGH,27610.0,1999,9,3
63812,9,0.35,65000,1955,1224,A,A,A,ZEBULON,27597.0,1995,9,3
63827,1,0.23,67000,1950,774,A,A,A,RALEIGH,27610.0,1999,6,2
63864,18,0.2,48000,1950,1169,A,A,A,RALEIGH,27603.0,1995,2,1
63880,16,0.35,64000,1970,1244,A,B,A,GARNER,27529.0,1990,9,3
63888,4,0.6,275000,1971,2576,A,C,A,CARY,27511.0,1997,5,2
63890,7,0.31,93000,1968,1420,G,B,A,RALEIGH,27609.0,1993,1,1
63891,1,0.27,92000,1962,2436,A,E,C,RALEIGH,27609.0,1991,6,2
63894,4,0.37,146000,1964,2282,A,D,C,CARY,27511.0,1995,8,3
63896,16,0.49,70000,1961,1156,A,C,A,RALEIGH,27610.0,1995,3,1
63994,1,0.23,145000,2013,2915,A,D,K,RALEIGH,27608.0,1993,10,4
64010,4,0.26,114500,1949,1572,A,C,A,CARY,27511.0,1993,4,2
64023,17,0.41,87000,1967,1692,I,C,A,RALEIGH,27604.0,1993,7,3
64030,4,0.35,139500,1958,2821,G,C,A,CARY,27511.0,1999,3,1
64031,1,0.22,57000,1965,1248,G,B,A,RALEIGH,27610.0,1993,5,2
64039,1,3.08,41500,1997,10128,A,F,C,RALEIGH,27609.0,1995,11,4
64061,19,0.61,112000,1940,1671,A,D,A,WAKE FOREST,27587.0,1991,6,2
64185,17,0.26,132000,1965,1913,I,C,A,RALEIGH,27604.0,1998,6,2
64198,1,0.44,70000,1956,1664,A,B,A,RALEIGH,27610.0,1994,7,3
64201,1,0.25,103500,1958,1393,G,A,A,RALEIGH,27604.0,1998,7,3
64237,12,2.08,210000,1971,5002,A,E,B,FUQUAY VARINA,27526.0,1995,6,2
64248,17,0.29,88000,1967,1260,A,B,A,RALEIGH,27604.0,1994,8,3
64253,18,0.27,128000,1967,1766,I,D,A,RALEIGH,27603.0,1999,7,3
64297,4,1.26,88000,1968,1589,A,B,A,CARY,27518.0,1990,8,3
64320,4,0.46,119000,1963,1472,G,C,A,CARY,27511.0,1994,12,4
64322,17,3.91,217000,1970,3420,I,E,A,RALEIGH,27604.0,1997,9,3
64326,1,0.31,106500,1950,1775,A,C,A,RALEIGH,27608.0,1990,4,2
64336,1,0.47,463000,1993,5018,A,F,C,RALEIGH,27609.0,1994,6,2
64350,7,0.59,165000,1977,3825,A,J,C,RALEIGH,27612.0,1997,2,1
64356,7,1.05,325000,1973,4162,A,J,C,RALEIGH,27612.0,1996,7,3
64358,7,0.53,174000,1971,2830,A,D,C,RALEIGH,27612.0,1992,7,3
64376,7,0.56,112000,1979,1361,A,C,A,RALEIGH,27612.0,1995,10,4
64395,13,0.4,130000,1969,1990,A,D,A,RALEIGH,27609.0,1991,12,4
